COD_MUNICIPIO;MUNICIPIO;UG;;
04058;Líjar;99053;;
04059;Lubrín;99427;;
04060;Lucainena de las Torres;99427;;
04061;Lúcar;99053;;
04062;Macael;99053;;
04063;María;99053;;
04064;Mojácar;99053;;
04065;Nacimiento;99427;;
04066;Níjar;04066;;
04067;Ohanes;99427;;
04068;Olula de Castro;99427;;
04069;Olula del Río;99053;;
04070;Oria;99053;;
04071;Padules;99427;;
04072;Partaloa;99053;;
04073;Paterna del Río;99427;;
04074;Pechina;99427;;
04075;Pulpí;99053;;
04076;Purchena;99053;;
04077;Rágol;99427;;
04078;Rioja;99427;;
04079;Roquetas de Mar;04079;;
04080;Santa Cruz de Marchena;99427;;
04081;Santa Fe de Mondújar;99427;;
04082;Senés;99427;;
04083;Serón;99053;;
04084;Sierro;99053;;
04085;Somontín;99053;;
04086;Sorbas;99427;;
04087;Suflí;99053;;
04088;Tabernas;99427;;
04089;Taberno;99053;;
04090;Tahal;99053;;
04091;Terque;99427;;
04092;Tíjola;99053;;
04093;Turre;99053;;
04094;Turrillas;99427;;
04095;Uleila del Campo;99427;;
04096;Urrácal;99053;;
04097;Velefique;99427;;
04098;Vélez-Blanco;99053;;
04099;Vélez-Rubio;99053;;
04100;Vera;99053;;
04101;Viator;99427;;
04102;Vícar;04102;;
04103;Zurgena;99053;;
04901;Tres Villas, Las;99427;;
04902;Ejido, El;04902;;
04903;Mojonera, La;04903;;
04904;Balanegra;04904;;
05001;Adanero;99432;;
05002;Adrada, La;99432;;
05005;Albornos;99432;;
05007;Aldeanueva de Santa Cruz;99432;;
05008;Aldeaseca;99432;;
05010;Aldehuela, La;99432;;
05012;Amavida;99432;;
05013;Arenal, El;99432;;
05014;Arenas de San Pedro;99432;;
05015;Arevalillo;99432;;
05016;Arévalo;05016;;
05017;Aveinte;99432;;
05018;Avellaneda;99432;;
05019;Ávila;05019;;
05021;Barco de Ávila, El;99432;;
05022;Barraco, El;99432;;
05023;Barromán;99432;;
05024;Becedas;99432;;
05025;Becedillas;99432;;
05026;Bercial de Zapardiel;99432;;
05027;Berlanas, Las;99432;;
05029;Bernuy-Zapardiel;99432;;
05030;Berrocalejo de Aragona;99432;;
05033;Blascomillán;99432;;
05034;Blasconuño de Matacabras;99432;;
05035;Blascosancho;99432;;
05036;Bohodón, El;99432;;
05037;Bohoyo;99432;;
05038;Bonilla de la Sierra;99432;;
05039;Brabos;99432;;
05040;Bularros;99432;;
05041;Burgohondo;99432;;
05042;Cabezas de Alambre;99432;;
05043;Cabezas del Pozo;99432;;
05044;Cabezas del Villar;99432;;
05045;Cabizuela;99432;;
05046;Canales;99432;;
05047;Candeleda;99432;;
05048;Cantiveros;99432;;
05049;Cardeñosa;99432;;
05051;Carrera, La;99432;;
05052;Casas del Puerto;99432;;
05053;Casasola;99432;;
05054;Casavieja;99432;;
05055;Casillas;99432;;
05056;Castellanos de Zapardiel;99432;;
05057;Cebreros;99432;;
05058;Cepeda la Mora;99432;;
05059;Cillán;99432;;
05060;Cisla;99432;;
05061;Colilla, La;99432;;
05062;Collado de Contreras;99432;;
05063;Collado del Mirón;99432;;
05064;Constanzana;99432;;
05065;Crespos;99432;;
05066;Cuevas del Valle;99432;;
05067;Chamartín;99432;;
05069;Donjimeno;99432;;
05070;Donvidas;99432;;
05072;Espinosa de los Caballeros;99432;;
05073;Flores de Ávila;99432;;
05074;Fontiveros;99432;;
05075;Fresnedilla;99432;;
05076;Fresno, El;99432;;
05077;Fuente el Saúz;99432;;
05078;Fuentes de Año;99432;;
05079;Gallegos de Altamiros;99432;;
05080;Gallegos de Sobrinos;99432;;
05081;Garganta del Villar;99432;;
05082;Gavilanes;99432;;
05083;Gemuño;99432;;
05084;Gilbuena;99432;;
05085;Gil García;99432;;
05086;Gimialcón;99432;;
05087;Gotarrendura;99432;;
05088;Grandes y San Martín;99432;;
05089;Guisando;99432;;
05090;Gutierre-Muñoz;99432;;
05092;Hernansancho;99432;;
05093;Herradón de Pinares;99432;;
05094;Herreros de Suso;99432;;
05095;Higuera de las Dueñas;99432;;
05096;Hija de Dios, La;99432;;
05097;Horcajada, La;99432;;
05099;Horcajo de las Torres;99432;;
05100;Hornillo, El;99432;;
05101;Hoyocasero;99432;;
05102;Hoyo de Pinares, El;99432;;
05103;Hoyorredondo;99432;;
05104;Hoyos del Collado;99432;;
05105;Hoyos del Espino;99432;;
05106;Hoyos de Miguel Muñoz;99432;;
05107;Hurtumpascual;99432;;
05108;Junciana;99432;;
05109;Langa;99432;;
05110;Lanzahíta;99432;;
05112;Losar del Barco, El;99432;;
05113;Llanos de Tormes, Los;99432;;
05114;Madrigal de las Altas Torres;99432;;
05115;Maello;99451;;
05116;Malpartida de Corneja;99432;;
05117;Mamblas;99432;;
05118;Mancera de Arriba;99432;;
05119;Manjabálago;99432;;
05120;Marlín;99432;;
05121;Martiherrero;99432;;
05122;Martínez;99432;;
05123;Mediana de Voltoya;99432;;
05124;Medinilla;99432;;
05125;Mengamuñoz;99432;;
05126;Mesegar de Corneja;99432;;
05127;Mijares;99432;;
05128;Mingorría;99432;;
05129;Mirón, El;99432;;
05130;Mironcillo;99432;;
05131;Mirueña de los Infanzones;99432;;
05132;Mombeltrán;99432;;
05133;Monsalupe;99432;;
05134;Moraleja de Matacabras;99432;;
05135;Muñana;99432;;
05136;Muñico;99432;;
05138;Muñogalindo;99432;;
05139;Muñogrande;99432;;
05140;Muñomer del Peco;99432;;
05141;Muñopepe;99432;;
05142;Muñosancho;99432;;
05143;Muñotello;99432;;
05144;Narrillos del Álamo;99432;;
05145;Narrillos del Rebollar;99432;;
05147;Narros del Castillo;99432;;
05148;Narros del Puerto;99432;;
05149;Narros de Saldueña;99432;;
05151;Navacepedilla de Corneja;99432;;
05152;Nava de Arévalo;99432;;
05153;Nava del Barco;99432;;
05154;Navadijos;99432;;
05155;Navaescurial;99432;;
05156;Navahondilla;99432;;
05157;Navalacruz;99432;;
05158;Navalmoral;99432;;
05159;Navalonguilla;99432;;
05160;Navalosa;99432;;
05161;Navalperal de Pinares;99432;;
05162;Navalperal de Tormes;99432;;
05163;Navaluenga;99432;;
05164;Navaquesera;99432;;
05165;Navarredonda de Gredos;99432;;
05166;Navarredondilla;99432;;
05167;Navarrevisca;99432;;
05168;Navas del Marqués, Las;99432;;
05169;Navatalgordo;99432;;
05170;Navatejares;99432;;
05171;Neila de San Miguel;99432;;
05172;Niharra;99432;;
05173;Ojos-Albos;99432;;
05174;Orbita;99432;;
05175;Oso, El;99432;;
05176;Padiernos;99432;;
05177;Pajares de Adaja;99432;;
05178;Palacios de Goda;99432;;
05179;Papatrigo;99432;;
05180;Parral, El;99432;;
05181;Pascualcobo;99432;;
05182;Pedro Bernardo;99432;;
05183;Pedro-Rodríguez;99432;;
05184;Peguerinos;99432;;
05185;Peñalba de Ávila;99432;;
05186;Piedrahíta;99432;;
05187;Piedralaves;99432;;
05188;Poveda;99432;;
05189;Poyales del Hoyo;99432;;
05190;Pozanco;99432;;
05191;Pradosegar;99432;;
05192;Puerto Castilla;99432;;
05193;Rasueros;99432;;
05194;Riocabado;99432;;
05195;Riofrío;99432;;
05196;Rivilla de Barajas;99432;;
05197;Salobral;99432;;
05198;Salvadiós;99432;;
05199;San Bartolomé de Béjar;99432;;
05200;San Bartolomé de Corneja;99432;;
05201;San Bartolomé de Pinares;99432;;
05204;Sanchidrián;99432;;
05205;Sanchorreja;99432;;
05206;San Esteban de los Patos;99432;;
05207;San Esteban del Valle;99432;;
05208;San Esteban de Zapardiel;99432;;
05209;San García de Ingelmos;99432;;
05210;San Juan de la Encinilla;99432;;
05211;San Juan de la Nava;99432;;
05212;San Juan del Molinillo;99432;;
05213;San Juan del Olmo;99432;;
05214;San Lorenzo de Tormes;99432;;
05215;San Martín de la Vega del Alberche;99432;;
05216;San Martín del Pimpollar;99432;;
05217;San Miguel de Corneja;99432;;
05218;San Miguel de Serrezuela;99432;;
