MUNICIPIO;COD_PROVINCIA;COD_MUNICIPIO;COD_CCAA;NUM_CONTENEDORES; HABITANTES ;
Fonollosa;8;08084;8;24; 1.459 ;
Font-rubí;8;08085;8;19; 1.414 ;
Franqueses del Vallès, Les;8;08086;8;89; 20.364 ;
Gallifa;8;08087;8;8; 167 ;
Garriga, La;8;08088;8;73; 16.668 ;
Gavà;8;08089;8;293; 47.057 ;
Gaià;8;08090;8;4; 183 ;
Gelida;8;08091;8;42; 7.670 ;
Gironella;8;08092;8;44; 4.946 ;
Gisclareny;8;08093;8;2; 26 ;
Granada, La;8;08094;8;18; 2.208 ;
Granera;8;08095;8;4; 77 ;
Granollers;8;08096;8;197; 62.419 ;
Gualba;8;08097;8;21; 1.548 ;
Sant Salvador de Guardiola;8;08098;8;40; 3.221 ;
Guardiola de Berguedà;8;08099;8;23; 941 ;
Gurb;8;08100;8;38; 2.713 ;
Hospitalet de Llobregat, L`;8;08101;8;647; 269.382 ;
Igualada;8;08102;8;188; 40.742 ;
Jorba;8;08103;8;6; 833 ;
Llacuna, La;8;08104;8;15; 903 ;
Llagosta, La;8;08105;8;48; 13.587 ;
Llinars del Vallès;8;08106;8;42; 10.018 ;
Lliçà d`Amunt;8;08107;8;282; 15.469 ;
Lliçà de Vall;8;08108;8;67; 6.497 ;
Lluçà;8;08109;8;4; 276 ;
Malgrat de Mar;8;08110;8;115; 18.772 ;
Malla;8;08111;8;7; 272 ;
Manlleu;8;08112;8;95; 20.912 ;
Manresa;8;08113;8;248; 78.245 ;
Martorell;8;08114;8;101; 28.772 ;
Martorelles;8;08115;8;43; 4.820 ;
Masies de Roda, Les;8;08116;8;12; 719 ;
Masies de Voltregà, Les;8;08117;8;38; 3.132 ;
Masnou, El;8;08118;8;188; 23.831 ;
Masquefa;8;08119;8;83; 9.402 ;
Matadepera;8;08120;8;3; 9.496 ;
Mataró;8;08121;8;374; 129.661 ;
Mediona;8;08122;8;0; 2.369 ;
Molins de Rei;8;08123;8;179; 25.940 ;
Mollet del Vallès;8;08124;8;186; 51.600 ;
Montcada i Reixac;8;08125;8;118; 36.803 ;
Montgat;8;08126;8;49; 12.200 ;
Monistrol de Montserrat;8;08127;8;20; 3.139 ;
Monistrol de Calders;8;08128;8;15; 702 ;
Muntanyola;8;08129;8;5; 632 ;
Montclar;8;08130;8;5; 139 ;
Montesquiu;8;08131;8;10; 1.030 ;
Montmajor;8;08132;8;13; 469 ;
Montmaneu;8;08133;8;0; 151 ;
Figaró-Montmany;8;08134;8;12; 1.142 ;
Montmeló;8;08135;8;44; 8.831 ;
Montornès del Vallès;8;08136;8;62; 16.644 ;
Montseny;8;08137;8;8; 351 ;
Moià;8;08138;8;52; 6.383 ;
Mura;8;08139;8;5; 220 ;
Navarcles;8;08140;8;50; 6.057 ;
Navàs;8;08141;8;37; 6.018 ;
Nou de Berguedà, La;8;08142;8;1; 162 ;
Òdena;8;08143;8;38; 3.668 ;
Olvan;8;08144;8;2; 858 ;
Olèrdola;8;08145;8;39; 3.768 ;
Olesa de Bonesvalls;8;08146;8;18; 1.840 ;
Olesa de Montserrat;8;08147;8;103; 24.144 ;
Olivella;8;08148;8;20; 3.935 ;
Olost;8;08149;8;20; 1.202 ;
Orís;8;08150;8;8; 322 ;
Oristà;8;08151;8;8; 549 ;
Orpí;8;08152;8;1; 151 ;
Òrrius;8;08153;8;11; 758 ;
Pacs del Penedès;8;08154;8;14; 918 ;
Palafolls;8;08155;8;36; 9.613 ;
Palau-solità i Plegamans;8;08156;8;162; 14.892 ;
Pallejà;8;08157;8;62; 11.622 ;
Papiol, El;8;08158;8;58; 4.172 ;
Parets del Vallès;8;08159;8;64; 19.071 ;
Perafita;8;08160;8;5; 405 ;
Piera;8;08161;8;62; 16.134 ;
Hostalets de Pierola, Els;8;08162;8;32; 2.980 ;
Pineda de Mar;8;08163;8;61; 27.984 ;
Pla del Penedès, El;8;08164;8;16; 1.275 ;
Pobla de Claramunt, La;8;08165;8;16; 2.185 ;
Pobla de Lillet, La;8;08166;8;12; 1.093 ;
Polinyà;8;08167;8;89; 8.504 ;
Pontons;8;08168;8;16; 528 ;
Prat de Llobregat, El;8;08169;8;249; 65.385 ;
Prats de Rei, Els;8;08170;8;4; 537 ;
Prats de Lluçanès;8;08171;8;18; 2.604 ;
Premià de Mar;8;08172;8;82; 28.531 ;
Puigdàlber;8;08174;8;6; 524 ;
Puig-reig;8;08175;8;15; 4.295 ;
Pujalt;8;08176;8;1; 210 ;
Quar, La;8;08177;8;44; 49 ;
Rajadell;8;08178;8;9; 534 ;
Rellinars;8;08179;8;30; 809 ;
Ripollet;8;08180;8;115; 39.179 ;
Roca del Vallès, La;8;08181;8;50; 10.754 ;
Pont de Vilomara i Rocafort, El;8;08182;8;20; 3.907 ;
Roda de Ter;8;08183;8;34; 6.490 ;
Rubí;8;08184;8;425; 78.591 ;
Rubió;8;08185;8;2; 239 ;
Sabadell;8;08187;8;892; 216.520 ;
Sagàs;8;08188;8;7; 145 ;
Sant Pere Sallavinera;8;08189;8;1; 151 ;
Saldes;8;08190;8;12; 278 ;
Sallent;8;08191;8;50; 6.735 ;
Santpedor;8;08192;8;38; 7.604 ;
Sant Iscle de Vallalta;8;08193;8;20; 1.342 ;
Sant Adrià de Besòs;8;08194;8;115; 37.447 ;
Sant Agustí de Lluçanès;8;08195;8;4; 89 ;
Sant Andreu de la Barca;8;08196;8;73; 27.569 ;
Sant Andreu de Llavaneres;8;08197;8;59; 11.133 ;
Sant Antoni de Vilamajor;8;08198;8;35; 6.208 ;
Sant Bartomeu del Grau;8;08199;8;13; 884 ;
Sant Boi de Llobregat;8;08200;8;298; 84.500 ;
Sant Boi de Lluçanès;8;08201;8;6; 580 ;
Sant Celoni;8;08202;8;112; 18.136 ;
Sant Cebrià de Vallalta;8;08203;8;25; 3.438 ;
Sant Climent de Llobregat;8;08204;8;26; 4.160 ;
Sant Cugat del Vallès;8;08205;8;342; 92.977 ;
Sant Cugat Sesgarrigues;8;08206;8;11; 1.009 ;
Sant Esteve de Palautordera;8;08207;8;22; 2.864 ;
Sant Esteve Sesrovires;8;08208;8;52; 7.696 ;
Sant Fost de Campsentelles;8;08209;8;43; 8.853 ;
Sant Feliu de Codines;8;08210;8;35; 6.363 ;
Sant Feliu de Llobregat;8;08211;8;141; 45.467 ;
Sant Feliu Sasserra;8;08212;8;5; 605 ;
Sant Fruitós de Bages;8;08213;8;49; 8.837 ;
Vilassar de Dalt;8;08214;8;91; 9.072 ;
Sant Hipòlit de Voltregà;8;08215;8;22; 3.540 ;
Sant Jaume de Frontanyà;8;08216;8;3; 30 ;
Sant Joan Despí;8;08217;8;106; 34.267 ;
Sant Joan de Vilatorrada;8;08218;8;51; 10.998 ;
Vilassar de Mar;8;08219;8;84; 21.035 ;
Sant Julià de Vilatorta;8;08220;8;26; 3.140 ;
Sant Just Desvern;8;08221;8;245; 18.670 ;
Sant Llorenç d`Hortons;8;08222;8;22; 2.428 ;
Sant Llorenç Savall;8;08223;8;29; 2.417 ;
Sant Martí de Centelles;8;08224;8;14; 1.184 ;
Sant Martí d`Albars;8;08225;8;2; 114 ;
Sant Martí de Tous;8;08226;8;8; 1.228 ;
Sant Martí Sarroca;8;08227;8;28; 3.261 ;
Sant Martí Sesgueioles;8;08228;8;1; 342 ;
Sant Mateu de Bages;8;08229;8;9; 608 ;
Premià de Dalt;8;08230;8;109; 10.441 ;
Sant Pere de Ribes;8;08231;8;142; 31.111 ;
Sant Pere de Riudebitlles;8;08232;8;15; 2.380 ;
Sant Pere de Torelló;8;08233;8;16; 2.470 ;
Sant Pere de Vilamajor;8;08234;8;219; 4.544 ;
Sant Pol de Mar;8;08235;8;62; 5.428 ;
Sant Quintí de Mediona;8;08236;8;14; 2.317 ;
Sant Quirze de Besora;8;08237;8;23; 2.154 ;
Sant Quirze del Vallès;8;08238;8;108; 20.195 ;
Sant Quirze Safaja;8;08239;8;9; 631 ;
Sant Sadurní d`Anoia;8;08240;8;70; 12.841 ;
Sant Sadurní d`Osormort;8;08241;8;6; 76 ;
Marganell;8;08242;8;0; 266 ;
Santa Cecília de Voltregà;8;08243;8;3; 182 ;
Santa Coloma de Cervelló;8;08244;8;44; 8.268 ;
Santa Coloma de Gramenet;8;08245;8;256; 120.443 ;
Santa Eugènia de Berga;8;08246;8;14; 2.278 ;
Santa Eulàlia de Riuprimer;8;08247;8;10; 1.383 ;
Santa Eulàlia de Ronçana;8;08248;8;55; 7.426 ;
Santa Fe del Penedès;8;08249;8;6; 367 ;
Santa Margarida de Montbui;8;08250;8;34; 10.225 ;
Santa Margarida i els Monjos;8;08251;8;65; 7.676 ;
Barberà del Vallès;8;08252;8;133; 33.334 ;
Santa Maria de Besora;8;08253;8;3; 161 ;
Santa Maria de Corcó;8;08254;8;21; 2.186 ;
Santa Maria de Merlès;8;08255;8;3; 184 ;
Santa Maria de Martorelles;8;08256;8;10; 890 ;
Santa Maria de Miralles;8;08257;8;1; 119 ;
Santa Maria d`Oló;8;08258;8;14; 1.024 ;
Santa Maria de Palautordera;8;08259;8;89; 9.630 ;
Santa Perpètua de Mogoda;8;08260;8;117; 25.999 ;
Santa Susanna;8;08261;8;46; 3.548 ;
Sant Vicenç de Castellet;8;08262;8;57; 9.767 ;
Sant Vicenç dels Horts;8;08263;8;227; 28.268 ;
Sant Vicenç de Montalt;8;08264;8;86; 6.452 ;
Sant Vicenç de Torelló;8;08265;8;22; 2.058 ;
Cerdanyola del Vallès;8;08266;8;231; 57.855 ;
Sentmenat;8;08267;8;0; 9.235 ;
Cercs;8;08268;8;18; 1.150 ;
Seva;8;08269;8;45; 3.544 ;
Sitges;8;08270;8;165; 29.553 ;
Sobremunt;8;08271;8;2; 78 ;
Sora;8;08272;8;3; 212 ;
Subirats;8;08273;8;35; 3.104 ;
Súria;8;08274;8;34; 5.948 ;
Tavèrnoles;8;08275;8;3; 322 ;
Tagamanent;8;08276;8;6; 318 ;
Talamanca;8;08277;8;7; 209 ;
Taradell;8;08278;8;38; 6.640 ;
